IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000453400021;1100004534000;21;2494.2887094;1;2;2;4;1;1;0;1;0;1;1;0
110000456500021;1100004565000;21;3122.8707937;2;2;2;6;1;1;0;1;0;0;3;
110000463500021;1100004635000;21;2534.3646579;1;2;2;6;2;1;0;1;0;0;5;
110000465700021;1100004657000;21;1257.6969765;4;2;2;1;1;1;0;1;1;0;1;80
110000465700022;1100004657000;22;1257.6969765;4;2;2;2;2;1;0;1;0;0;1;0
110000466500021;1100004665000;21;2478.4410251;2;2;2;6;2;1;0;1;0;0;5;
110000466500022;1100004665000;22;2478.4410251;4;2;2;6;3;1;0;1;0;1;5;
110000466700022;1100004667000;22;4275.891614;4;2;2;6;2;1;0;1;0;0;4;
110000466700023;1100004667000;23;4275.891614;4;2;2;6;21;1;0;1;0;0;5;
110000466700024;1100004667000;24;4275.891614;4;2;2;6;21;1;0;1;0;0;4;
110000466700025;1100004667000;25;4275.891614;4;2;2;6;21;1;0;1;0;0;4;
110000466700021;1100004667000;21;4275.891614;4;2;2;1;1;1;1;1;0;1;4;85
110000472700021;1100004727000;21;2377.1322512;4;2;2;3;1;1;0;1;0;0;1;0
110000473400021;1100004734000;21;3534.3629648;4;2;2;5;1;1;1;1;0;0;5;
110000473400022;1100004734000;22;3534.3629648;2;2;2;6;3;1;0;1;0;0;5;
110000475400021;1100004754000;21;2095.0162824;2;2;2;6;2;1;0;1;0;0;1;
110000475400022;1100004754000;22;2095.0162824;2;2;2;6;1;1;0;1;0;0;1;
110000475400023;1100004754000;23;2095.0162824;6;2;2;1;1;1;0;0;0;1;1;15
110000476500021;1100004765000;21;1448.0974523;2;2;2;6;2;1;0;0;0;1;4;
110000476500022;1100004765000;22;1448.0974523;4;2;2;5;1;1;1;1;0;1;4;
110000476500023;1100004765000;23;1448.0974523;3;2;2;6;1;1;0;1;0;0;4;
110000476500024;1100004765000;24;1448.0974523;7;2;2;6;21;1;0;1;0;0;4;
110000476500025;1100004765000;25;1448.0974523;2;2;2;6;1;1;0;1;0;0;4;
110000482500021;1100004825000;21;1042.6430024;3;2;2;3;2;1;1;0;0;0;4;120
110000483700021;1100004837000;21;4048.1199247;3;2;2;2;1;1;0;0;1;1;4;0
110000485400021;1100004854000;21;4346.7172666;2;2;2;4;1;1;0;0;0;1;5;0
110000486400021;1100004864000;21;3977.2455414;6;2;1;1;1;1;1;1;1;1;4;70
110000486400022;1100004864000;22;3977.2455414;6;2;1;1;2;1;1;1;1;1;4;120
110000486500021;1100004865000;21;1539.3851171;2;2;2;6;1;1;1;1;0;0;5;
110000493500022;1100004935000;22;1830.7320898;1;2;2;3;1;1;0;1;0;1;1;10
110000493500021;1100004935000;21;1830.7320898;4;2;1;3;2;1;0;1;0;1;1;30
110000495500022;1100004955000;22;1939.4525139;2;2;2;6;1;1;0;1;0;0;4;
110000495500021;1100004955000;21;1939.4525139;1;2;1;4;1;1;0;1;1;0;4;0
